STAT;Lat;Long;h[m];estado_abril_2021
GOJA;-17,88327673;-51,72610952;755,2895223;active
PRMA;-23,40968602;-51,93842478;543,3317998;active
PAAR;-3,211674603;-52,21276359;94,14293153;active
MTBA;-15,8899695;-52,2647321;322,8146;removed
MTCN;-13,55582462;-52,2713574;423,2086505;active
MTGA;-15,87528789;-52,3120717;340,3308983;active
MTNX;-14,69753094;-52,34920896;299,0175659;removed
RSPF;-28,22813771;-52,39062089;710,695016;active
RSPE;-31,80244741;-52,41762916;37,09207451;active
APLJ;-0,82199927;-52,51559373;35,9805542;active
SCCH;-27,13756367;-52,59950727;744,2004786;active
KOUG;5,098471769;-52,63975051;107,2369142;active
STJO;47,59524159;-52,6777524;152,8342778;active
KOUR;5,25218229;-52,80595999;-25,7610589;active
ROSA;-22,52330232;-52,95208875;299,6682773;active
PRUR;-23,80608229;-53,32066137;475,287051;active
PRCV;-24,96275326;-53,46632964;777,2952402;active
UYRO;-34,00100355;-53,55482631;58,96880048;active
SMAR;-29,71892185;-53,71659372;113,1023563;active
UYLP;-34,65570049;-54,14209757;20,10678439;active
MTIT;-17,21826332;-54,14954054;534,5169973;inactive
MSNV;-23,0220387;-54,19206771;381,6618237;active
UYCL;-32,36573823;-54,21402775;134,6596091;active
MTLE;-15,55376399;-54,28246719;627,6196755;active
MSMN;-23,9235404;-54,28658515;325,4936891;active
UYTT;-33,24129763;-54,38036271;68,92626926;active
SVIC;-26,99371245;-54,48752092;553,2253517;inactive
MSCG;-20,4408985;-54,54070313;676,4717212;removed
ITAI;-25,42067629;-54,58829369;183,5698275;active
UYRV;-31,77238858;-54,68811547;274,3558411;active
PAST;-2,504733174;-54,72197252;130,917922;#N/A
PASM;-2,427965892;-54,72890173;24,05043828;active
RSCL;-28,1418787;-54,7547598;280,8901;active
MSDR;-22,19410453;-54,9304025;478,6466707;active
MSMJ;-21,61820673;-55,13795689;361,9531849;active
PMB1;5,828161757;-55,14486388;-29,35549261;active
SRZN;5,455643932;-55,20307649;-17,26614492;active
UYLA;-34,36277324;-55,24879083;148,3355248;active
MTCO;-10,80386301;-55,45626377;307,197473;removed
UYRI;-30,89576081;-55,55911498;251,5635042;active
UYDU;-33,31588437;-55,60243492;164,9006566;active
MSPP;-22,62162243;-55,60885436;648,1856888;active
MSAQ;-20,45294115;-55,6711653;188,1164282;active
MTSR;-12,5452334;-55,72741341;391,6530722;active
RSAL;-29,78944334;-55,76884036;117,178092;active
UYSG;-32,61742731;-55,84360501;107,3912772;active
EBYP;-27,36894274;-55,89217488;139,8369996;active
UYIF;-34,94598857;-55,93275018;55,89276849;active
UYTA;-31,68306526;-55,93753365;186,951465;active
PAIT;-4,287655221;-56,03635622;9,177134784;active
MTNM;-13,79483683;-56,05632068;433,4103964;inactive
CUIB;-15,55526082;-56,06986714;237,4434721;active
MSJR;-21,49844463;-56,1589805;289,7750538;active
MTSC;-16,68752683;-56,1743323;132,2140878;active
MTV1;-34,91358882;-56,17630147;40,72378918;active
UYFD;-34,09669075;-56,18936861;87,91506589;active
UYMO;-34,88831766;-56,25988286;158,0798636;active
UYAR;-30,41174603;-56,49068162;146,4440134;active
UYPT;-32,80055961;-56,50981696;91,10249522;active
MSBL;-22,10688594;-56,53094295;207,754104;active
MSCB;-18,98866485;-56,61689085;113,9304918;#N/A
UYSJ;-34,32373283;-56,70909577;55,37058395;active
AMPR;-2,631222302;-56,73433653;9,736332645;removed
UYFS;-33,51597888;-56,88689728;165,5250228;active
SRNW;5,945084786;-56,99193002;-18,53884609;removed
UYTD;-30,94626906;-57,5245019;75,65337498;active
MPL2;-38,0057664;-57,5712978;53,5672;active
CORU;-19,00027925;-57,62961522;156,5962191;active
MTCA;-16,13046588;-57,69083986;147,327733;active
AMMU;-3,396658376;-57,7085896;19,63180679;#N/A
UYCO;-34,46298574;-57,83538222;49,32275466;active
FALK;-51,69365093;-57,87406736;50,82427559;active
MSPM;-21,6976893;-57,88402234;97,33581472;active
OHI2;-63,32107977;-57,90132817;32,50172152;active
OHI3;-63,32109116;-57,90138147;32,64269564;active
LPGS;-34,90674441;-57,93229991;29,86412675;active
UYSA;-31,37517049;-57,95978064;79,02324374;active
UYSO;-33,26126026;-58,01361832;80,73979313;active
UYPA;-32,29124886;-58,06718882;71,83149665;active
A320;-34,87339643;-58,13951127;37,1749482;#N/A
A310;-34,87340116;-58,13975859;37,12629494;#N/A
ASLR;-34,8736365;-58,13979545;35,64953061;#N/A
VLBI;-34,8739073;-58,1398113;35,93991044;#N/A
AGGO;-34,87370699;-58,13985696;39,6851156;active
A360;-34,87396011;-58,14005957;37,16246241;#N/A
BCAR;-37,76123215;-58,30109572;150,3737473;active
IGM1;-34,57224235;-58,43931998;50,6867599;active
MTJI;-11,44874254;-58,7235852;328,2822588;active
UYBA;-62,18449697;-58,90246996;33,67803403;active
CHAC;-27,42043919;-58,95969324;77,94947357;active
GUAY;-31,86912915;-59,02622343;70,60959313;active
MTLA;-15,22828011;-59,35046916;267,6198501;active
BDOS;13,0879551;-59,609096;-38,6241;removed
RECO;-29,14635725;-59,66442982;76,34936806;active
AZUL;-36,76702077;-59,88128099;158,281673;active
MTVB;-15,0064252;-59,9515559;219,6206;removed
AMUA;-3,091840224;-60,01815748;27,43536028;inactive
NAUS;-3,022918246;-60,05501695;93,88119144;active
PRNA;-31,78143511;-60,4694396;92,37397281;active
ROCD;-13,1222749;-60,5439108;451,7049;removed
UNRO;-32,95935232;-60,62842557;66,85982249;active
BOAV;2,845183834;-60,70111533;69,4985616;active
CN45;10,8370671;-60,9383157;-5,5541;#N/A
LMMF;14,59481774;-60,99617562;-27,11401418;active
YEMA;-24,28073;-61,2365061;185,4982;active
DOMI;15,3062142;-61,3890866;-21,2282;#N/A
ABMF;16,26230583;-61,52753615;-25,5733209;active
GRE1;12,22175534;-61,6404471;16,27422373;inactive
GRE0;12,2217842;-61,6404533;16,6628;removed
CN00;17,668524;-61,785579;-21,9579;#N/A
BGGY;17,04511957;-61,86116359;356,2854777;#N/A
PEJO;-35,8063238;-61,8946392;110,1258;active
ROJI;-10,86389867;-61,95971593;182,9053643;active
RCHY;16,70390349;-62,15320976;313,0677581;#N/A
TRNT;16,764283;-62,1632955;-23,4402;#N/A
GERD;16,79481552;-62,19429799;125,5199682;#N/A
NWBL;16,8204146;-62,2027056;146,6528;#N/A
AIRS;16,7408284;-62,2138557;84,3377;#N/A
OLVN;16,7504037;-62,227728;40,8633;#N/A
VBCA;-38,70076666;-62,2692282;59,44881098;active
RDON;16,9341834;-62,3462579;106,5684;#N/A
AMBC;-0,969286955;-62,92627895;34,87064744;removed
AMHA;-7,516747399;-63,02840175;69,80252067;inactive
CN02;18,2039235;-63,0540689;-8,955;#N/A
SMRT;18,04226705;-63,1088687;-32,48005248;removed
AMCR;-4,085820732;-63,14220419;42,37619389;active
SCRZ;-17,7967907;-63,15967396;442,0508517;active
YCBA;-22,01710266;-63,67998467;659,6716504;removed
POVE;-8,70933517;-63,89632009;119,5803273;active
PALV;-64,7750892;-64,0511199;31,1098;removed
PALM;-64,77508937;-64,05112045;31,09494709;active
UCOR;-31,43495955;-64,19350589;462,7664293;active
CUM3;10,42890044;-64,19502915;10,11960793;removed
TERO;-27,78914387;-64,25678072;221,9183522;active
SRLP;-36,6214987;-64,28040567;223,8346305;active
ABVI;18,7296842;-64,332485;-35,6128;#N/A
CN03;18,4904625;-64,4025211;288,361;#N/A
NESA;-40,10539143;-64,45400584;83,08920667;active
CORD;-31,5284339;-64,4700487;746,8333;active
CRO1;17,75689994;-64,58431829;-31,96816573;active
BRMU;32,37039943;-64,69627412;-11,63034518;inactive
AMTE;-3,3456887;-64,7066505;45,8076;active
VIKH;17,7161834;-64,7981248;-6,3918;#N/A
VITH;18,3433317;-64,969213;4,4153;#N/A
STVI;18,3400952;-64,974447;-21,4759;#N/A
RWSN;-43,29887894;-65,10724827;27,38876749;active
TUCU;-26,84325393;-65,23035143;484,9803623;active
CUPR;18,3074395;-65,2825155;-30,4089;#N/A
BSUC;-19,00620753;-65,3026194;2969,987289;active
ROGM;-10,78424173;-65,33060778;157,7601839;removed
AMCO;-4,871987834;-65,33397924;75,89293756;active
UNSA;-24,72745493;-65,40764324;1257,802039;active
LHCL;-38,00265788;-65,59524907;404,5398445;inactive
JBAL;-27,58440762;-65,62274942;409,1542232;active
ABRA;-22,72203374;-65,69730851;3530,098812;removed
CATA;-28,4709839;-65,77412083;547,1387877;active
BYSP;18,40783707;-66,16119899;49,22363182;#N/A
CBMB;-17,41659053;-66,25882638;2620,312439;active
SL01;-33,15635655;-66,31401065;864,764365;active
MIPR;17,88622393;-66,52696162;-38,12595661;#N/A
P780;18,07502621;-66,57913459;154,0708044;#N/A
ALUM;-27,32342611;-66,59662815;2736,934576;active
AOPR;18,3465299;-66,7540922;319,5464;#N/A
RDEO;-18,9016197;-66,7681153;3776,3546;removed
UYNI;-20,465944;-66,8259568;3709,9207;inactive
CRCS;10,50253058;-66,91351612;913,0293936;removed
SAGA;-0,143853042;-67,05778141;94,8851884;inactive
URUS;-17,9528;-67,1143878;3767,2988;removed
PHDP;-36,0297519;-67,1329623;355,2592;#N/A
MAYZ;18,217586;-67,1588672;-38,6199;#N/A
UTUR;-22,2420048;-67,2055417;5184,0811;#N/A
CANO;6,185201;-67,4821129;51,332;inactive
MZGA;-34,9784331;-67,6961687;504,3137;active
RIO2;-53,78547047;-67,75111723;32,03208722;active
CJNT;-23,02748978;-67,76057443;5074,046966;#N/A
RIOB;-9,9654576;-67,8028121;172,6209;active
COLO;-22,1673827;-67,803979;4376,9191;#N/A
CN41;8,943455;-68,041496;81,20001807;active
MA01;-38,9510471;-68,0573537;323,4401;removed
EMIB;-16,5322272;-68,0817019;3411,3268;active
MZAE;-33,254843;-68,15006265;635,7261438;removed
BLPZ;-16,52985052;-68,16828172;4090,657775;active
AUTF;-54,83952422;-68,30356589;71,89249369;active
MZRF;-34,61237672;-68,33148781;730,19405;active
MZSR;-34,61547054;-68,3343136;730,6017134;removed
CRRL;-36,15273364;-68,35432411;1225,892613;#N/A
CBAA;-22,74636793;-68,44814927;3514,833735;#N/A
LLST;-25,1654619;-68,5201858;5272,151;#N/A
UNSJ;-31,54125722;-68,57706046;708,9004009;active
MZAL;-32,72071375;-68,59522421;635,5601516;active
LCEN;-25,3260604;-68,60260234;4270,929334;#N/A
OAFA;-31,50872539;-68,62326311;750,1116239;active
MZAC;-32,89515163;-68,87557494;859,8849578;active
CN40;12,1800438;-68,9580144;33,3086;#N/A
MD01;-12,59335198;-69,18587292;232,8070694;active
CHMZ;-19,66853733;-69,19416649;3783,997684;#N/A
UNPA;-51,64799157;-69,20865379;34,96184169;active
PWRO;-38,4230706;-69,2106032;491,6205;#N/A
CSLO;-31,78488656;-69,30221353;2638,794879;active
SPED;18,4610155;-69,3055735;-22,1277;#N/A
SRGD;-22,8711363;-69,34783448;1899,34636;#N/A
CLLA;-20,9544834;-69,3566493;1554,7634;#N/A
RGAO;-34,2455606;-69,3797841;2341,5016;#N/A
MGUE;-35,77735067;-69,39792713;1553,70851;active
PTRE;-18,19428752;-69,57432864;3607,636207;#N/A
GAS1;-36,210834;-69,5894352;1385,4193;#N/A
CDLC;-22,18963586;-69,76152347;1998,193508;#N/A
ELA2;-35,18020993;-69,81364097;1867,626048;#N/A
RDSD;18,46139824;-69,91132285;-9,192665913;active
CN27;19,66711788;-69,93980935;-21,13921676;#N/A
