STAT;Lat;Long;h[m];estado_abril_2021
RIOP;-1,650594455;-78,65110723;2817,170531;active
EREC;-1,671171;-78,6512208;2801,3558;active
CN15;26,55665586;-78,69308376;-27,55414599;#N/A
TUMA;1,82227446;-78,73041331;25,78127891;inactive
SNLR;1,292516442;-78,84700505;23,06527471;active
ALEC;-2,202154961;-78,84740611;2383,658677;active
CUEC;-2,883296506;-79,00249709;2631,152112;active
CN28;8,625063933;-79,03371942;25,87566328;#N/A
CHEP;9,170558328;-79,10449261;37,3867016;active
PDEC;-4,647573493;-79,13127117;1143,309657;#N/A
LJEC;-3,988259592;-79,19853776;2143,512858;active
SIEC;-3,274503823;-79,31498718;1657,852016;active
ACP6;9,2384762;-79,4078232;943,5038;#N/A
ECEC;-0,271845722;-79,45186917;284,7937888;inactive
QVEC;-1,012255431;-79,46957015;115,3362624;active
BHEC;-1,797960855;-79,53097933;55,98050113;active
IGN1;8,984886085;-79,53575464;47,55928255;active
NJEC;-2,675161988;-79,62084886;51,35884829;active
ESMR;0,934648712;-79,7243724;251,6838416;removed
CBMD;19,73797626;-79,7582566;18,73947734;#N/A
CBSB;19,7120086;-79,8330518;-7,1915;removed
LB01;-6,77893412;-79,87121252;42,55133468;active
GYEC;-2,149356352;-79,89186496;35,20415132;removed
GUEC;-2,271663228;-79,90398491;32,4026877;removed
ACP1;9,3713923;-79,9498594;12,7938;#N/A
CLEC;-4,1030565;-79,9555545;2024,3562;removed
LCSB;19,6675604;-80,0820855;-8,1725;#N/A
ONEC;-0,69734917;-80,10150687;41,10972876;active
ACHO;7,414731;-80,1731063;35,5956;#N/A
CN33;8,487239741;-80,32666761;76,79651321;#N/A
PMEC;8,48827213;-80,32874051;87,7507043;active
PJEC;-1,552402562;-80,42519604;146,7172101;removed
AZUE;7,955687167;-80,43251629;55,158101;removed
PTEC;-1,0580379;-80,4745616;63,4603;removed
PI01;-5,179942018;-80,6277691;52,18567605;active
SEEC;-2,219630245;-80,9039915;29,72372698;active
CN35;13,3754953;-81,3629207;47,8547;#N/A
ANDS;12,58634704;-81,70072963;16,20606663;inactive
SAN0;12,58045039;-81,71572205;10,06294982;#N/A
CN20;9,35167571;-82,25626724;13,16516508;#N/A
DAVI;8,4254731;-82,43380311;67,21710572;active
VLCN;8,7851428;-82,6387992;1442,555;#N/A
PUAR;8,31043416;-82,83040897;35,26501213;active
NEIL;8,644353049;-82,94439073;66,53125566;active
LIMN;9,993092048;-83,02636854;25,06376123;active
VRAI;9,924847747;-83,19063992;438,3685721;#N/A
SAGE;9,373138918;-83,70425419;723,1724256;active
CN30;11,99355161;-83,77204811;30,06384095;removed
RIDC;9,919684303;-84,0490724;1212,151896;active
UCRI;9,93618213;-84,05196038;1233,888357;active
ETCG;9,999484541;-84,10589609;1193,611497;removed
AACR;9,938849401;-84,11791716;1123,938603;active
CRCP;9,9508788;-84,1250168;1084,4003;#N/A
CRLP;9,95089013;-84,12501952;1084,342055;active
CIQE;10,3225867;-84,43089151;680,650985;active
PUNT;9,979879344;-84,83213456;23,6538735;active
VERA;10,85361813;-84,86904151;64,31022191;active
QSEC;9,8403832;-85,3572715;17,3992;#N/A
LIBE;10,63061331;-85,43788243;163,8271127;active
NICY;10,1424585;-85,4545526;151,5717;#N/A
NYCO;10,14400672;-85,4550115;155,5699884;active
IND1;9,8646298;-85,5021946;74,705;#N/A
MANA;12,14893965;-86,24899294;71,00913955;active
ROA0;16,31815332;-86,52684092;10,01228008;#N/A
CNC0;21,17465312;-86,82090033;-0,213233682;#N/A
UNPM;20,8685026;-86,8681747;-0,4674;#N/A
ISCO;5,544344241;-87,05583026;10,37330553;removed
TEG2;14,09007362;-87,2056446;951,2877236;active
CN24;19,57556201;-88,05390464;7,912615079;#N/A
CHET;18,4952768;-88,29922558;2,931320975;active
CN23;17,26060711;-88,77875736;55,3141625;#N/A
MRLS;15,46224923;-88,84973235;46,32932944;removed
SSIA;13,69708535;-89,11659494;626,6455719;active
POPT;16,3254344;-89,41049527;521,6574913;#N/A
SCEC;-0,902688;-89,614984;7,9066;removed
MERI;20,9800454;-89,62031839;7,846493195;active
CATR;14,46286441;-89,74264475;688,2793208;removed
ELEN;16,9160561;-89,8676144;118,1249;removed
TINT;15,3176744;-89,8754066;116,7873;removed
SAYA;16,52046327;-90,19230878;143,9628954;#N/A
CHIS;15,81225481;-90,29135494;241,9822701;removed
CHIS;15,8122548;-90,2913551;241,9821;removed
GLPS;-0,742998626;-90,3036685;1,782538483;active
TAXI;14,0347873;-90,4652814;47,2532;removed
GUAT;14,59040438;-90,52018253;1519,860053;inactive
ICAM;19,85345745;-90,52747301;2,573805581;active
NARA;17,22676179;-90,81000167;73,38902785;removed
COTZ;14,33463989;-91,0581605;304,4615635;removed
BARI;15,8018444;-91,314803;1461,2839;removed
HUEH;15,3181424;-91,5026927;1878,1772;removed
COAT;14,701862;-91,8845151;428,1424;removed
VIL2;17,99041064;-92,93109876;27,72974502;active
OAX2;17,07833991;-96,71673974;1607,252355;active
TAMP;22,27832085;-97,86402768;21,04244095;active
ICEP;19,03302337;-98,18759769;2150,304775;active
TOL2;19,29323392;-99,6434725;2651,718431;active
MTY2;25,71550646;-100,3129066;521,7352698;active
USLP;22,1442328;-101,0156691;1892,8454;removed
UGTO;21,00270919;-101,2716648;2062,27781;active
INEG;21,85615344;-102,2842037;1887,740298;active
COL2;19,24444311;-103,7018841;528,7894275;active
MDO1;30,68051048;-104,0149944;2004,486754;active
IDGO;24,06745262;-104,607079;1863,093135;active
ILSG;-26,47290551;-105,3618014;6,530229051;#N/A
CHIH;28,66219239;-106,0867403;1413,182343;removed
CULC;24,7950852;-107,4125968;36,13226245;active
PIE1;34,30150506;-108,1189285;2347,72408;active
ISPA;-27,1249833;-109,3444049;112,4783;removed
IPAZ;24,14527401;-110,3307467;-14,84381086;active
HER2;29,0925464;-110,967216;186,9454;removed
MEXI;32,63299055;-115,4757032;-22,41639364;active
GOL2;35,42515549;-116,889;986,6480767;active
GOLD;35,4251555;-116,889252;986,6482878;active
VNDP;34,55631399;-120,616;-11,52756583;active
THTI;-17,57705954;-149,6064536;98,02152593;active
MKEA;19,80135833;-155,456;3754,625809;active
CHTI;-43,73547244;-176,6171175;75,66936484;active
